Oplijsting overlegfora federaal/Digitaal Vlaanderen;;;;;;;;;;;
Met deze sheet willen we  de structurele en formele overlegfora (genre ICEG, Digital Decade Board, CSPI, INSPIRE CC, ...) met onze federale collega's in kaart brengen;;;;;;;;;;;
;;;;;;;;;;;
Naam forum;Doel forum;Deelnemers vanuit DV;Andere deelnemers;Periodiciteit;Opmerkingen;Formeel/informeel;FOD;Strategisch/Operationeel;Communicatie;Legistieke verankering;
ICEG;Intergouvernementeel e-government overleg;Jan Smedts (Voorzitter)/ Stephane Coppens;;kwartaal;Hans Arents is back-up voor Tony;Formeel;FOD BOSA;Strategisch;Agenda en verslagen verstuurd door FOD BOSA;Egov Samenwerkingsakkoord 08/10/2013;
ICEG Digital Government Benchmarks Expert Group;Werkgroep met als doel België beter te laten scoren in e-government benchmarks;Hans Arents;;SLAPEND: kwartaal/laatste jaren niet meer samengekomen;Hans Arents is back-up voor Tony;Formeel;FOD BOSA;Operationeel;Agenda en verslagen verstuurd door FOD BOSA;Egov Samenwerkingsakkoord 08/10/2013;
ICEG Digital Decade - Government;Werkgroep met als doel Digital Decade doelstellingen rond e-gov;Hans Arents;;SLAPEND: kwartaal/nog maar één keer samengekomen;Hans Arents is back-up voor Tony;Formeel;FOD BOSA;Operationeel;Agenda en verslagen verstuurd door FOD BOSA;Egov Samenwerkingsakkoord 08/10/2013;
ICEG Reviewcomité datastandaardisatie;Werkgroep rond OSLO standaarden;Ziggy Vanlishout/ Eveline Vlassenroot;+ Datagovernance-medewerkers;kwartaal;"Toegevoegde waarde voor Datagovernance: standaardisatie op federaal niveau bespreken/toelichten
Deelnemers vanuit DV herevalueren";Formeel;FOD BOSA;Operationeel;ECI kernteam;Egov Samenwerkingsakkoord 08/10/2013;
(OCDI) Overlegcomité Dienstenintegratoren (BOSA);overleg interfederaal met de verschillende dienstenintegratoren, vooral kennisdelend, informatief en richtinggevend ;Bruno De Vrieze;;2/jaar;Plaatsvervangend: Sven Pletinckx (DV);Formeel;FOD BOSA;Strategisch;Agenda en verslagen worden intern doorgestuurd door Bruno;Wet van 15/08/2012: https://www.ejustice.just.fgov.be/cgi/article_body.pl?language=nl&caller=summary&pub_date=12-08-29&numac=2012002044;
BestAdd - Adrescomite;Afspraken met gewesten, federaal niveau rond aanpak adressen, o.a. ifv BestAdd;Evelien D'heer (voorzitter)/ Jan Laporte (plaatsvervanger) ;;4/Jaar;"Verschillende werkgroepen + GT Buni (gebouwen)
Toegevoegde waarde voor Datagovernance: afstemmen en coördineren inspanningen rond adressen met de verschillende partijen";Formeel;FOD BOSA/ NGI;Strategisch;Agenda's en verslagen beschikbaar;SWO van 22/01/2016: https://www.vlaanderen.be/digitaal-vlaanderen/onze-diensten-en-platformen/gebouwen-en-adressenregister/belgie-best-add;
Overleg BOSA (SDM);Maandelijks overleg met BOSA rond SDM;Henk Smets;;maandelijks;;;FOD BOSA;Operationeel;Reminder;;
Service Overleg BOSA – Veiligheidsbouwstenen;Bespreken van samenwerking ACM-IDM en de FAS, opvolgen van issues tussen ACM-IDM en de FAS, opvolgen van de resp. roadmaps & ontwikkelingen / projecten die een impact (kunnen) hebben op hetzij DV hetzij BOSA. O.a. eIDAS, Digital Wallet, FAS 2.0, MyID, authenticatie van niet-EU-gebruikers, etc.;Matser Marcel, Hayen Michael, Van Cauwenberge Michiel, Onraedt Steven en Van Lier Peter ;Deelnemers FOD: Henk Yde (BOSA, Domain Manager IAA), Peter Vansant (BOSA) <peter.vansant@bosa.fgov.be>=  (BOSA, Service Delivery Manager FAS);2-maandelijks;;Informeel;FOD BOSA;Beide;Informele lijst agendapunten via Confluence;;
Programmastuurgroep SDG ;;Kabinet + Geert Mareels;Willem Van Hoecke voor technische componenten?;;BOSA;;FOD BOSA;Strategisch;;Samenwerkingsakkoord Single Digital Gateway 07/07/2023;
Algemene coördinatiegroep + fin werkgroep;;Tony + Geert Mareels;;;BOSA;;FOD BOSA;Strategisch;;;
Reflectiewerkgroep digitale facturatie;;Marc Deleu;;4/jaar;BOSA;;FOD BOSA;;;;
Open data portals meeting;Aanbieders van open data portalen in België samenbrengen om af te stemmen en kennis uit te wisselen;Loes Deventer / Stijn Tallir / Geralidne Nolf;;;"Eerdere community? Afvaardiging te reviseren
Toegevoegde waarde: voldoen aan Europese en federale wetgeving en overleg met de verschillende partijen";Informeel;FOD BOSA;Operationeel;Geen verslag, agenda per mail;;
IEC Dig Infrastructure;Interfederaal comité voor Digital Decade doelstellingen rond digitale infrastructuur;EWI + Reinhard Laroy;;SLAPEND Laatste meeting dateert van 2023;Past on digital decade;;FOD Economie;;;Deel van Digital Decade 2030 Belgian Roadmap, validatie van politieke beslissingen verloopt via DGE procedure;
